close,high,low,open,timestamp,volume
28051,28199,27723,28181,1680739200,1064.88009436
27931,28118,27797,28054,1680825600,436.47964010
27969,28174,27891,27931,1680912000,417.76313910
28340,28544,27833,27968,1680998400,718.54765779
29652,29789,28184,28353,1681084800,2711.67320655
30246,30575,29617,29657,1681171200,2689.40489510
29903,30503,29689,30255,1681257600,1926.94195052
30410,30614,29889,29914,1681344000,1503.93427177
30498,31035,30001,30411,1681430400,2540.14059427
30332,30620,30249,30498,1681516800,560.64010658
30330,30567,30157,30327,1681603200,656.81163772
29448,30337,29247,30328,1681689600,2077.00292863
30395,30483,29122,29452,1681776000,1827.46761436
28827,30423,28603,30388,1681862400,3869.09654939
28238,29098,28005,28814,1681948800,2450.06329929
27254,28362,27140,28240,1682035200,2455.89969552
27817,27883,27137,27253,1682121600,1010.44737158
27596,27820,27347,27820,1682208000,798.04552773
27512,27998,26981,27594,1682294400,2236.65500868
28300,28392,27197,27515,1682380800,1874.16625132
28428,30022,27242,28306,1682467200,5277.18704400
29485,29887,28389,28427,1682553600,3748.60576512
29333,29600,28922,29486,1682640000,2449.07497740
29247,29460,29061,29339,1682726400,932.47961185
29235,29961,29115,29252,1682812800,1415.25506091
28079,29344,27666,29254,1682899200,2913.86283351
28680,28894,27876,28079,1682985600,1935.55649138
29033,29276,28138,28682,1683072000,2838.45231646
28851,29378,28691,29043,1683158400,1656.27922902
29547,29701,28832,28860,1683244800,1923.16974421
28911,29851,28422,29537,1683331200,1443.17174676
28472,29194,28444,28909,1683417600,1021.45715582
27690,28667,27290,28485,1683504000,2936.79913382
27650,27841,27372,27688,1683590400,1573.53076474
27618,28328,26842,27648,1683676800,2848.94252300
26991,27640,26720,27624,1683763200,2126.87109348
26811,27093,25800,26987,1683849600,4842.98246111
26789,27052,26710,26816,1683936000,1269.30464643
26933,27202,26598,26805,1684022400,1325.63421938
27166,27666,26736,26933,1684108800,1805.12956433
27037,27300,26868,27166,1684195200,1730.33763378
27404,27488,26550,27037,1684281600,2653.36761994
26818,27481,26374,27413,1684368000,1987.57678586
26893,27176,26651,26824,1684454400,1277.23274821
27115,27153,26840,26889,1684540800,603.01939692
26750,27277,26688,27123,1684627200,654.14743859
26856,27078,26547,26753,1684713600,1111.87388791
27226,27478,26810,26854,1684800000,1174.41963411
26325,27225,26076,27225,1684886400,2214.54386081
26478,26611,25878,26325,1684972800,1646.82583790
26718,26937,26338,26486,1685059200,1666.10237235
26872,26893,26566,26716,1685145600,636.46388614
28072,28248,26785,26875,1685232000,1665.64922634
27749,28452,27542,28071,1685318400,1684.67833372
27706,28054,27570,27748,1685404800,1567.55117507
27219,27840,26857,27701,1685491200,1863.47625267
26826,27356,26625,27220,1685577600,2004.35720265
27251,27300,26519,26821,1685664000,1671.43445600
27076,27332,26937,27250,1685750400,772.42193183
27125,27451,26963,27072,1685836800,789.89956410
25739,27138,25389,27114,1685923200,3837.59032264
27236,27357,25350,25730,1686009600,3965.21160442
26348,27388,26140,27252,1686096000,2996.80495663
26510,26809,26225,26347,1686182400,1530.42554212
26484,26778,26289,26507,1686268800,1059.79847008
25857,26528,25420,26486,1686355200,3074.54228424
25941,26209,25657,25857,1686441600,1020.99238041
25906,26103,25634,25940,1686528000,1761.02544893
25934,26422,25718,25906,1686614400,1895.96796692
25127,26078,24819,25935,1686700800,2747.12869314
25573,25729,24756,25125,1686787200,2880.44240822
26333,26485,25188,25567,1686873600,2556.84039324
26507,26785,26173,26333,1686960000,1155.48522656
26340,26685,26267,26513,1687046400,1005.71439822
26842,27050,26260,26336,1687132800,1828.96524085
28315,28441,26651,26840,1687219200,3123.51386312
30009,30755,28280,28316,1687305600,6043.64316714
29889,30505,29600,30010,1687392000,3777.43149847
30716,31458,29820,29891,1687478400,4388.38562374
30548,30821,30287,30703,1687564800,1211.73495461
30477,31047,30295,30550,1687651200,1480.27114787
30274,30657,29941,30480,1687737600,2062.07924358
30696,31025,30235,30278,1687824000,2087.55806488
30079,30712,29868,30697,1687910400,1867.54566498
30444,30825,30041,30078,1687996800,1924.61834450
30469,31268,29508,30445,1688083200,4944.39013815
30592,30647,30321,30469,1688169600,603.93483950
30616,30785,30175,30590,1688256000,1091.40198046
31158,31378,30587,30616,1688342400,1549.49344257
30771,31327,30637,31165,1688428800,848.52450967
30501,30866,30206,30767,1688515200,1179.48935068
29912,31500,29868,30498,1688601600,3087.63379638
30348,30445,29722,29901,1688688000,1886.47101822
30293,30383,30056,30348,1688774400,602.99398251
30167,30439,30073,30293,1688860800,640.48477925
30421,31037,29964,30170,1688947200,1899.48550714
30621,30804,30310,30417,1689033600,1275.01882493
30382,30960,30219,30631,1689120000,1734.61976884
31471,31818,30259,30383,1689206400,3038.41085113
